DATE,OPEN,HIGH,LOW,CLOSE,Daily_Closing_Return
1990-01-02,17.24,17.24,17.24,17.24,
1990-01-03,18.19,18.19,18.19,18.19,0.05510440835266839
1990-01-04,19.22,19.22,19.22,19.22,0.05662451896646492
1990-01-05,20.11,20.11,20.11,20.11,0.04630593132154015
1990-01-08,20.26,20.26,20.26,20.26,0.007458975634013099
1990-01-09,22.2,22.2,22.2,22.2,0.09575518262586358
1990-01-10,22.44,22.44,22.44,22.44,0.010810810810810922
1990-01-11,20.05,20.05,20.05,20.05,-0.10650623885918009
1990-01-12,24.64,24.64,24.64,24.64,0.22892768079800496
1990-01-15,26.34,26.34,26.34,26.34,0.06899350649350655
1990-01-16,24.18,24.18,24.18,24.18,-0.08200455580865607
1990-01-17,24.16,24.16,24.16,24.16,-0.0008271298593879317
1990-01-18,24.34,24.34,24.34,24.34,0.007450331125827825
1990-01-19,22.5,22.5,22.5,22.5,-0.07559572719802798
1990-01-22,26.7,26.7,26.7,26.7,0.18666666666666654
1990-01-23,24.72,24.72,24.72,24.72,-0.07415730337078652
1990-01-24,25.39,25.39,25.39,25.39,0.027103559870550242
1990-01-25,25.63,25.63,25.63,25.63,0.00945254037022436
1990-01-26,26.28,26.28,26.28,26.28,0.025360905189231397
1990-01-29,26.44,26.44,26.44,26.44,0.0060882800608828
1990-01-30,27.25,27.25,27.25,27.25,0.030635400907715438
1990-01-31,25.36,25.36,25.36,25.36,-0.06935779816513765
1990-02-01,24.87,24.87,24.87,24.87,-0.019321766561514186
1990-02-02,24.32,24.32,24.32,24.32,-0.022114997989545637
1990-02-05,24.54,24.54,24.54,24.54,0.009046052631578982
1990-02-06,24.69,24.69,24.69,24.69,0.006112469437652868
1990-02-07,24.29,24.29,24.29,24.29,-0.016200891049007793
1990-02-08,23.77,23.77,23.77,23.77,-0.02140798682585421
1990-02-09,23.69,23.69,23.69,23.69,-0.0033655868742110684
1990-02-12,24.38,24.38,24.38,24.38,0.029126213592232997
1990-02-13,23.76,23.76,23.76,23.76,-0.025430680885972
1990-02-14,22.05,22.05,22.05,22.05,-0.07196969696969702
1990-02-15,19.71,19.71,19.71,19.71,-0.10612244897959178
1990-02-16,20.78,20.78,20.78,20.78,0.054287163876205025
1990-02-20,22.78,22.78,22.78,22.78,0.09624639076034658
1990-02-21,23.89,23.89,23.89,23.89,0.048726953467954415
1990-02-22,22.54,22.54,22.54,22.54,-0.056508999581414865
1990-02-23,23.69,23.69,23.69,23.69,0.051020408163265474
1990-02-26,23.56,23.56,23.56,23.56,-0.005487547488391864
